source_row_id,split
1,validation
2,test
3,train
4,train
5,validation
6,train
7,validation
8,train
9,train
10,test
11,train
12,train
13,train
14,train
15,train
16,train
17,test
18,validation
19,test
20,validation
21,validation
22,train
23,train
24,train
25,train
26,train
27,train
28,validation
29,train
30,validation
31,train
32,train
33,train
34,train
35,validation
36,train
37,train
38,train
39,train
40,validation
41,train
42,train
43,train
44,train
45,train
46,train
47,train
48,validation
49,train
50,train
51,train
52,train
53,train
54,train
55,train
56,test
57,train
58,train
59,train
60,train
61,test
62,train
63,validation
64,validation
65,validation
66,validation
67,test
68,test
69,train
70,train
71,train
72,train
73,train
74,validation
75,train
76,test
77,train
78,train
79,test
80,train
81,train
82,train
83,train
84,test
85,test
86,train
87,train
88,train
89,validation
90,validation
91,train
92,validation
93,train
94,validation
95,train
96,train
97,validation
98,train
99,train
100,train
101,test
102,train
103,train
104,validation
105,train
106,train
107,train
108,train
109,test
110,train
111,train
112,train
113,train
114,train
115,train
116,test
117,train
118,validation
119,train
120,train
121,test
122,train
123,train
124,validation
125,validation
126,train
127,train
128,train
129,test
130,train
131,test
132,train
133,train
134,validation
135,train
136,train
137,train
138,train
139,train
140,train
141,validation
142,test
143,validation
144,test
145,train
146,validation
147,test
148,train
149,test
150,train
151,test
152,validation
153,train
154,train
155,train
156,train
157,test
158,validation
159,test
160,test
161,test
162,test
163,train
164,train
165,test
166,train
167,test
168,test
169,test
170,validation
171,validation
172,train
173,train
174,train
175,train
176,train
177,train
178,train
179,validation
180,test
181,train
182,train
183,train
184,train
185,test
186,train
187,validation
188,validation
189,train
190,train
191,train
192,validation
193,test
194,train
195,train
196,test
197,test
198,test
199,test
200,test
201,validation
202,validation
203,train
204,test
205,test
206,validation
207,train
208,train
209,validation
210,test
211,train
212,train
213,test
214,test
215,train
216,train
217,train
218,train
219,validation
220,train
221,train
222,test
223,train
224,train
225,train
226,train
227,test
228,train
229,train
230,validation
231,validation
232,train
233,test
234,train
235,test
236,validation
237,train
238,train
239,train
240,train
241,train
242,test
243,train
244,validation
245,test
246,train
247,test
248,train
249,validation
250,train
251,test
252,train
253,train
254,train
255,train
256,test
257,train
258,train
259,validation
260,validation
261,train
262,train
263,train
264,train
265,test
266,train
267,train
268,train
269,test
270,validation
271,train
272,train
273,train
274,validation
275,train
276,test
277,train
278,train
279,test
280,train
281,train
282,train
283,test
284,test
285,train
286,validation
287,train
288,validation
289,test
290,test
291,train
292,train
293,validation
294,validation
295,test
296,train
297,train
298,train
299,validation
300,train
301,train
302,validation
303,validation
304,validation
305,test
306,test
307,train
308,validation
309,test
310,test
311,validation
312,train
313,test
314,train
315,test
316,validation
317,train
318,test
319,train
320,validation
321,train
322,test
323,train
324,train
325,train
326,train
327,train
328,test
329,train
330,validation
331,train
332,validation
333,train
334,train
335,validation
336,validation
337,train
338,validation
339,train
340,validation
341,train
342,train
343,train
344,test
345,train
346,test
347,train
348,test
349,train
350,validation
351,validation
352,train
353,validation
354,train
355,train
356,validation
357,train
358,train
359,train
360,train
361,train
362,train
363,validation
364,train
365,train
366,test
367,validation
368,validation
369,validation
370,train
371,test
372,test
373,test
374,validation
375,train
376,validation
377,validation
378,train
379,test
380,train
381,train
382,train
383,test
384,validation
385,validation
386,train
387,validation
388,train
389,validation
390,train
391,train
392,train
393,train
394,test
395,train
396,train
397,train
398,validation
399,test
400,test
401,train
402,train
403,train
404,train
405,train
406,train
407,train
408,train
409,validation
410,train
411,validation
412,test
413,train
414,test
415,validation
416,test
417,train
418,train
419,validation
420,train
421,train
422,test
423,train
424,train
425,train
426,validation
427,test
428,train
429,train
430,validation
431,test
432,train
433,train
434,train
435,train
436,validation
437,validation
438,train
439,train
440,train
441,validation
442,train
443,train
444,validation
445,train
446,train
447,test
448,validation
449,train
450,train
451,validation
452,train
453,train
454,train
455,train
456,validation
457,test
458,train
459,train
460,validation
461,train
462,train
463,train
464,train
465,train
466,train
467,validation
468,train
469,train
470,test
471,validation
472,train
473,train
474,train
475,test
476,validation
477,train
478,validation
479,train
480,train
481,train
482,train
483,train
484,validation
485,train
486,train
487,train
488,validation
489,validation
490,train
491,train
492,train
493,test
494,train
495,train
496,validation
497,validation
498,train
499,train
500,test
501,test
502,test
503,validation
504,test
505,train
506,train
507,validation
508,test
509,validation
510,validation
511,test
512,validation
513,validation
514,validation
515,validation
516,train
517,test
518,train
519,train
520,test
521,train
522,train
523,train
524,validation
525,validation
526,train
527,validation
528,test
529,validation
530,train
531,validation
532,train
533,train
534,train
535,train
536,test
537,train
538,test
539,test
540,train
541,train
542,train
543,train
544,validation
545,validation
546,validation
547,test
548,train
549,train
550,train
551,train
552,validation
553,train
554,test
555,validation
556,train
557,train
558,train
559,test
560,train
561,train
562,train
563,train
564,validation
565,train
566,validation
567,train
568,validation
569,train
570,test
571,test
572,train
573,validation
574,train
575,train
576,validation
577,train
578,train
579,train
580,train
581,train
582,validation
583,test
584,test
585,validation
586,train
587,train
588,test
589,train
590,train
591,train
592,train
593,train
594,train
595,train
596,train
597,train
598,validation
599,train
600,validation
601,test
602,train
603,test
604,train
605,train
606,train
607,train
608,train
609,train
610,train
611,train
612,train
613,test
614,train
615,validation
616,validation
617,train
618,train
619,train
620,train
621,train
622,train
623,test
624,validation
625,train
626,validation
627,train
628,test
629,test
630,train
631,train
632,train
633,test
634,train
635,train
636,train
637,train
638,validation
639,train
640,train
641,test
642,train
643,train
644,train
645,train
646,train
647,validation
648,train
649,train
650,train
651,train
652,train
653,train
654,train
655,validation
656,validation
657,train
658,train
659,test
660,train
661,train
662,train
663,train
664,validation
665,train
666,train
667,train
668,test
669,train
670,validation
671,train
672,train
673,train
674,validation
675,test
676,train
677,test
678,train
679,train
680,test
681,test
682,train
683,train
684,validation
685,test
686,test
687,train
688,train
689,train
690,train
691,train
692,train
693,test
694,train
695,test
696,train
697,train
698,train
699,train
700,train
701,train
702,test
703,validation
704,train
705,train
706,test
707,test
708,test
709,validation
710,train
711,validation
712,train
713,test
714,test
715,train
716,validation
717,train
718,train
719,validation
720,train
721,test
722,train
723,train
724,train
725,train
726,validation
727,validation
728,train
729,validation
730,validation
731,train
732,test
733,train
734,test
735,validation
736,test
737,train
738,train
739,validation
740,train
741,test
742,train
743,test
744,train
745,train
746,test
747,train
748,validation
749,train
750,train
751,train
752,test
753,validation
754,test
755,train
756,train
757,train
758,train
759,train
760,train
761,train
762,train
763,validation
764,train
765,train
766,train
767,validation
768,validation
769,train
770,test
771,train
772,train
773,train
774,train
775,train
776,train
777,train
778,train
779,train
780,train
781,validation
782,train
783,validation
784,test
785,train
786,train
787,validation
788,test
789,train
790,train
791,train
792,train
793,test
794,train
795,train
796,test
797,train
798,train
799,test
800,test
801,test
802,test
803,train
804,validation
805,train
806,train
807,train
808,train
809,train
810,train
811,train
812,train
813,test
814,validation
815,train
816,train
817,validation
818,train
819,validation
820,train
821,train
822,test
823,test
824,test
825,train
826,validation
827,validation
828,train
829,validation
830,test
831,train
832,validation
833,train
834,train
835,validation
836,train
837,train
838,train
839,test
840,train
841,train
842,train
843,train
844,train
845,train
846,train
847,train
848,train
849,train
850,train
851,train
852,test
853,train
854,validation
855,validation
856,train
857,train
858,train
859,validation
860,train
861,train
862,train
863,train
864,test
865,train
866,validation
867,train
868,train
869,test
870,train
871,test
872,validation
873,test
874,validation
875,validation
876,train
877,train
878,train
879,test
880,test
881,train
882,train
883,validation
884,test
885,train
886,train
887,test
888,train
889,test
890,test
891,validation
892,validation
893,validation
894,train
895,train
896,test
897,test
898,train
899,train
900,validation
901,validation
902,test
903,train
904,train
905,train
906,test
907,test
908,train
909,validation
910,train
911,train
912,validation
913,test
914,validation
915,train
916,validation
917,train
918,train
919,test
920,train
921,test
922,train
923,train
924,test
925,train
926,validation
927,train
928,train
929,validation
930,test
931,validation
932,train
933,validation
934,train
935,train
936,validation
937,test
938,test
939,train
940,validation
941,validation
942,test
943,test
944,test
945,train
946,train
947,train
948,train
949,test
950,validation
951,test
952,validation
953,train
954,train
955,test
956,train
957,validation
958,train
959,train
960,validation
961,test
962,test
963,train
964,train
965,validation
966,test
967,validation
968,train
969,validation
970,train
971,train
972,validation
973,train
974,train
975,train
976,test
977,validation
978,train
979,train
980,train
981,train
982,validation
983,train
984,train
985,train
986,train
987,train
988,test
989,train
990,validation
991,train
992,train
993,validation
994,validation
995,train
996,validation
997,validation
998,train
999,train
1000,train
1001,validation
1002,train
1003,test
1004,train
1005,validation
1006,train
1007,validation
1008,test
1009,test
1010,train
1011,train
1012,test
1013,train
1014,train
1015,validation
1016,train
1017,test
1018,train
1019,train
1020,train
1021,test
1022,train
1023,validation
1024,train
1025,train
1026,train
1027,test
1028,test
1029,train
1030,train
1031,train
1032,train
1033,test
1034,test
1035,test
1036,test
1037,train
1038,train
1039,train
1040,validation
1041,test
1042,validation
1043,train
1044,train
1045,validation
1046,train
1047,train
1048,train
1049,validation
1050,test
1051,validation
1052,train
1053,train
1054,train
1055,train
1056,train
1057,train
1058,train
1059,validation
1060,train
1061,train
1062,train
1063,train
1064,train
1065,train
1066,validation
1067,train
1068,test
1069,train
1070,validation
1071,test
1072,train
1073,validation
1074,validation
1075,train
1076,train
1077,train
1078,test
1079,test
1080,validation
1081,train
1082,train
1083,test
1084,train
1085,train
1086,train
1087,validation
1088,validation
1089,validation
1090,validation
1091,test
1092,train
1093,train
1094,test
1095,validation
1096,train
1097,train
1098,train
1099,train
1100,test
1101,train
1102,test
1103,validation
1104,validation
1105,train
1106,train
1107,validation
1108,validation
1109,test
1110,test
1111,train
1112,train
1113,train
1114,test
1115,train
1116,test
1117,validation
1118,train
1119,train
1120,test
1121,validation
1122,train
1123,validation
1124,validation
1125,train
1126,train
1127,test
1128,train
1129,train
1130,validation
1131,train
1132,train
1133,validation
1134,train
1135,validation
1136,train
1137,train
1138,test
1139,test
1140,train
1141,train
1142,test
1143,train
1144,train
1145,validation
1146,train
1147,test
1148,train
1149,validation
1150,test
1151,test
1152,train
1153,train
1154,test
1155,train
1156,test
1157,train
1158,test
1159,train
1160,validation
1161,validation
1162,test
1163,test
1164,train
1165,validation
1166,train
1167,test
1168,validation
1169,train
1170,train
1171,train
1172,validation
1173,test
1174,train
1175,train
1176,train
1177,test
1178,validation
1179,validation
1180,validation
1181,train
1182,train
1183,train
1184,test
1185,train
1186,validation
1187,train
1188,train
1189,train
1190,train
1191,test
1192,test
1193,train
1194,test
1195,test
1196,test
1197,test
1198,train
1199,train
1200,train
1201,test
1202,train
1203,validation
1204,train
1205,test
1206,train
1207,train
1208,test
1209,train
1210,validation
1211,validation
1212,train
1213,validation
1214,train
1215,test
1216,train
1217,train
1218,validation
1219,validation
1220,test
1221,train
1222,train
1223,train
1224,test
1225,train
1226,train
1227,train
1228,test
1229,validation
1230,validation
1231,test
1232,train
1233,train
1234,train
1235,train
1236,test
1237,test
1238,train
1239,train
1240,validation
1241,train
1242,validation
1243,train
1244,train
1245,train
1246,validation
1247,train
1248,train
1249,train
1250,train
1251,train
1252,train
1253,validation
1254,train
1255,test
1256,validation
1257,train
1258,validation
1259,train
1260,validation
1261,validation
1262,train
1263,train
1264,train
1265,test
1266,train
1267,validation
1268,train
1269,train
1270,train
1271,validation
1272,train
1273,train
1274,train
1275,validation
1276,train
1277,test
1278,test
1279,train
1280,validation
1281,validation
1282,train
1283,validation
1284,train
1285,validation
1286,test
1287,train
1288,test
1289,validation
1290,train
1291,validation
1292,validation
1293,test
1294,test
1295,test
1296,train
1297,train
1298,train
1299,test
1300,train
1301,train
1302,train
1303,train
1304,train
1305,test
1306,train
1307,train
1308,train
1309,test
1310,train
1311,train
1312,validation
1313,train
1314,train
1315,test
1316,train
1317,validation
1318,validation
1319,train
1320,train
1321,validation
1322,train
1323,validation
1324,train
1325,train
1326,test
1327,validation
1328,test
1329,validation
1330,train
1331,train
1332,validation
1333,test
1334,test
1335,train
1336,train
1337,train
1338,validation
1339,train
1340,train
1341,train
1342,train
1343,test
1344,test
1345,train
1346,validation
1347,train
1348,train
1349,test
1350,train
1351,validation
1352,test
1353,validation
1354,train
1355,train
1356,train
1357,validation
1358,validation
1359,train
1360,train
1361,train
1362,validation
1363,train
1364,train
1365,train
1366,train
1367,train
1368,train
1369,test
1370,test
1371,train
1372,train
1373,validation
1374,train
1375,train
1376,validation
1377,train
1378,train
1379,train
1380,validation
1381,validation
1382,validation
1383,train
1384,train
1385,validation
1386,train
1387,train
1388,train
1389,test
1390,validation
1391,test
1392,test
1393,train
1394,train
1395,test
1396,train
1397,test
1398,train
1399,train
1400,train
1401,train
1402,train
1403,train
1404,test
1405,test
1406,validation
1407,test
1408,train
1409,train
1410,test
1411,test
1412,train
